timestamp,gaze,iris_score,norm_iris_movement,posture_score,head_tilt,shoulder_angle
21:34:05,Looking Center,96,0.0335,60,-81.72,7.98
21:34:05,Looking Center,96,0.0358,60,-80.9,7.7
21:34:05,Looking Center,96,0.0374,60,-80.02,8.05
21:34:05,Looking Center,96,0.0381,61,-79.15,8.05
21:34:05,Looking Center,95,0.0403,61,-78.86,8.01
21:34:05,Looking Center,95,0.0405,61,-78.92,8.29
21:34:05,Looking Center,95,0.0423,61,-78.8,8.29
21:34:06,Looking Center,95,0.0462,61,-78.23,8.37
21:34:06,Looking Center,95,0.0471,62,-77.12,8.41
21:34:06,Looking Center,95,0.0487,62,-76.4,8.41
21:34:06,Looking Center,94,0.0506,63,-74.38,8.45
21:34:06,Looking Center,94,0.0551,65,-70.07,8.45
21:34:06,Looking Center,93,0.0607,69,-63.68,8.49
21:34:06,Looking Center,93,0.0661,69,-63.56,8.21
21:34:06,Looking Center,93,0.067,70,-61.54,7.93
21:34:06,Looking Center,92,0.0701,70,-61.09,7.65
21:34:06,Looking Center,92,0.0724,70,-61.52,7.37
21:34:06,Looking Center,92,0.0733,70,-60.68,7.65
21:34:06,Looking Center,92,0.0739,70,-61.64,7.33
21:34:06,Looking Center,92,0.0766,69,-62.55,7.06
21:34:06,Looking Center,92,0.0783,69,-63.04,6.78
21:34:06,Looking Center,91,0.0808,69,-63.34,6.5
21:34:06,Looking Center,91,0.082,68,-64.21,6.81
21:34:06,Looking Center,91,0.0825,68,-64.58,6.81
21:34:07,Looking Center,91,0.0825,68,-64.86,6.53
21:34:07,Looking Center,91,0.0818,68,-64.86,6.53
21:34:07,Looking Center,92,0.0785,68,-65.14,6.22
21:34:07,Looking Center,92,0.0781,68,-65.31,6.22
21:34:07,Looking Center,92,0.0771,68,-65.52,6.22
21:34:07,Looking Center,92,0.0767,67,-66.89,6.19
21:34:07,Looking Center,92,0.0749,67,-67.11,6.19
21:34:07,Looking Center,92,0.0735,67,-67.92,6.19
21:34:07,Looking Center,92,0.077,67,-66.92,7.02
21:34:07,Looking Center,92,0.0799,67,-66.54,7.06
21:34:07,Looking Center,92,0.0795,67,-66.92,7.89
21:34:07,Looking Center,91,0.0803,66,-69.2,8.13
21:34:07,Looking Center,92,0.0799,65,-70.6,8.41
21:34:07,Looking Center,92,0.0769,66,-70.0,9.42
21:34:07,Looking Center,92,0.0769,56,-69.53,10.28
21:34:07,Looking Center,92,0.0765,57,-65.66,11.95
21:34:07,Looking Center,92,0.0755,54,-60.15,16.54
21:34:08,Looking Center,91,0.0875,55,-91.85,6.25
21:34:08,No face,91,0.0875,63,-74.48,3.64
21:34:08,No face,91,0.0875,70,-61.53,3.77
21:34:08,Looking Center,89,0.1083,63,-75.49,3.9
21:34:08,Looking Center,89,0.103,62,-77.89,3.46
21:34:08,Looking Center,89,0.1002,62,-77.22,4.28
21:34:08,Looking Center,90,0.0962,62,-77.01,5.09
21:34:08,Looking Center,90,0.0939,62,-76.57,5.92
21:34:08,Looking Center,90,0.093,62,-77.52,7.05
21:34:08,Looking Center,90,0.092,61,-78.06,7.92
21:34:08,Looking Center,91,0.0893,61,-78.11,8.13
21:34:08,Looking Center,91,0.0884,61,-78.16,8.42
21:34:08,Looking Center,91,0.086,61,-78.26,8.42
21:34:08,Looking Center,91,0.084,61,-78.36,8.42
21:34:08,Looking Center,91,0.0835,61,-78.64,8.66
21:34:08,Looking Center,91,0.0825,61,-78.92,8.9
21:34:08,Looking Center,91,0.0824,61,-78.97,8.62
21:34:08,Looking Center,91,0.0826,61,-78.97,8.62
21:34:09,Looking Center,91,0.0812,61,-79.2,8.57
21:34:09,Looking Center,91,0.0811,61,-79.2,8.57
21:34:09,Looking Center,92,0.0791,61,-78.92,8.81
21:34:09,Looking Center,92,0.0778,61,-78.92,8.81
21:34:09,Looking Center,92,0.0777,61,-78.83,8.81
21:34:09,Looking Center,92,0.0715,61,-78.92,8.81
21:34:09,Looking Center,93,0.0686,61,-78.83,8.81
21:34:09,Looking Center,93,0.0668,61,-79.4,8.81
21:34:09,Looking Center,93,0.065,61,-79.35,9.09
21:34:09,Looking Center,93,0.0637,61,-79.35,9.09
21:34:09,Looking Center,93,0.0619,61,-78.64,9.14
21:34:09,Looking Center,93,0.0618,61,-78.64,9.14
21:34:09,Looking Center,94,0.0598,61,-78.12,8.85
21:34:09,Looking Center,94,0.0588,61,-78.07,8.57
21:34:09,Looking Center,95,0.0432,61,-79.26,8.62
21:34:09,Looking Center,98,0.0158,61,-79.5,8.66
21:34:09,Looking Center,98,0.0166,61,-79.37,8.37
21:34:10,Looking Center,98,0.0156,61,-79.89,8.09
21:34:10,Looking Center,98,0.0164,61,-79.81,8.17
21:34:10,Looking Center,98,0.0172,61,-79.43,7.92
21:34:10,Looking Center,98,0.0175,61,-79.43,7.92
21:34:10,Looking Center,98,0.0175,61,-79.13,7.67
21:34:10,Looking Center,98,0.0184,61,-79.13,7.67
21:34:10,Looking Center,98,0.0183,61,-79.09,7.38
21:34:10,Looking Center,97,0.0202,61,-78.69,7.13
21:34:10,Looking Center,97,0.021,61,-78.05,6.57
21:34:10,Looking Center,97,0.021,62,-77.31,6.6
21:34:10,Looking Center,97,0.0213,62,-77.31,6.6
21:34:10,Looking Center,97,0.0204,62,-77.25,6.31
21:34:10,Looking Center,97,0.0201,62,-77.01,6.27
21:34:10,Looking Center,97,0.0217,62,-77.01,6.27
21:34:10,Looking Center,97,0.0214,62,-77.06,6.57
21:34:10,Looking Center,97,0.0238,62,-76.7,6.6
21:34:10,Looking Center,97,0.0272,62,-76.77,6.34
21:34:11,Looking Center,96,0.0307,62,-77.16,6.34
21:34:11,Looking Center,96,0.0361,62,-77.64,6.07
21:34:11,Looking Center,94,0.0552,58,-84.21,5.86
21:34:11,Looking Center,93,0.0637,58,-85.21,5.8
21:34:11,Looking Center,92,0.071,58,-86.0,4.26
21:34:11,Looking Center,92,0.0792,59,-82.8,4.67
21:34:11,Looking Center,91,0.0882,60,-80.44,2.92
21:34:11,Looking Center,90,0.0943,60,-81.61,2.08
21:34:11,Looking Center,89,0.1023,59,-82.61,1.51
21:34:11,Looking Center,89,0.1088,58,-84.41,1.21
21:34:11,Looking Center,88,0.1164,57,-86.55,0.91
21:34:11,Looking Center,87,0.1266,57,-87.67,0.91
21:34:11,Looking Center,85,0.1439,55,-91.77,1.22
21:34:11,Looking Center,85,0.1469,53,-94.3,1.23
21:34:11,Looking Center,84,0.1501,53,-94.94,0.93
21:34:11,Looking Center,84,0.1527,53,-94.84,0.93
21:34:11,Looking Center,84,0.1549,53,-94.15,0.31
21:34:12,Looking Center,84,0.1572,54,-92.95,0.0
21:34:12,Looking Center,84,0.1585,54,-92.62,-0.31
21:34:12,Looking Center,83,0.1602,54,-92.04,-0.31
21:34:12,Looking Center,84,0.1595,55,-91.75,-0.63
21:34:12,Looking Center,83,0.1602,55,-91.45,-0.63
21:34:12,Looking Center,83,0.1605,55,-91.44,-0.32
21:34:12,Looking Center,83,0.1616,55,-91.16,0.0
21:34:12,Looking Center,83,0.1616,55,-91.74,0.32
21:34:12,Looking Center,83,0.163,55,-91.74,0.64
21:34:12,Looking Center,83,0.1614,55,-91.46,0.63
21:34:12,Looking Center,83,0.163,55,-91.17,0.64
21:34:12,Looking Center,83,0.1622,55,-90.88,0.95
21:34:12,Looking Center,83,0.1603,55,-91.18,0.95
21:34:12,Looking Center,84,0.1575,55,-90.89,1.27
21:34:12,Looking Center,84,0.1532,55,-90.89,1.28
21:34:12,Looking Center,86,0.1358,55,-91.19,1.29
21:34:12,Looking Center,87,0.1288,55,-91.77,1.29
21:34:13,Looking Center,87,0.123,54,-92.39,1.29
21:34:13,Looking Center,88,0.116,54,-92.98,1.29
21:34:13,Looking Center,89,0.1085,54,-93.01,1.29
21:34:13,Looking Center,89,0.1019,54,-93.61,1.29
21:34:13,Looking Center,90,0.094,53,-95.17,1.29
21:34:13,Looking Center,91,0.0866,53,-95.86,1.62
21:34:13,Looking Center,92,0.0782,53,-95.86,1.62
21:34:13,Looking Center,93,0.0679,52,-96.55,1.62
